"","modelIdx","stdMake","stdModel","cp","amo","Segment","Subsegment","var","highprice","meanprice","lowprice"
"1",8,"Aston Martin","Aston Martin DB9","Aston MartinAston Martin DB9",8,"Sports Car","Large Sports",52,43.8,34.2121153846154,31.99
"2",30,"Audi","Audi S5","AudiAudi S5",58,"Luxury Car","Compact Luxury",40,9.98,8.1411,6.788
"3",31,"Audi","Audi TT","AudiAudi TT",527,"Sports Car","Compact Sports",39,6.5,5.42564102564103,4.9
"4",32,"BAIC Motor","BAIC 205","BAIC MotorBAIC 205",1,"Van","Mini Van",61,0.408,0.345070175438596,0.298
"5",43,"BAIC Motor","BAIC Zhanqi","BAIC MotorBAIC Zhanqi",3733,"SUV","Compact SUV",60,0.845,0.664266666666667,0.5
"6",46,"Beijing Hyundai","Hyundai Accent","Beijing HyundaiHyundai Accent",2,"Passenger Car","Compact",163,1.058,0.848674846625767,0.598
"7",49,"Beijing Hyundai","Hyundai ix35","Beijing HyundaiHyundai ix35",17872,"SUV","Midsize SUV",167,2.428,2.02368862275449,1.498
"8",51,"Beijing Hyundai","Hyundai Mistra","Beijing HyundaiHyundai Mistra",59823,"Passenger Car","Midsize",67,1.898,1.56814925373134,1.298
"9",52,"Beijing Hyundai","Hyundai Moinca","Beijing HyundaiHyundai Moinca",2069,"Passenger Car","Midsize",78,1.398,1.26610810810811,1.148
"10",54,"Beijing Hyundai","Hyundai Sonata","Beijing HyundaiHyundai Sonata",9382,"Passenger Car","Midsize Upper",353,2.65,1.9062492917847,1.238
"11",57,"Beijing Hyundai","Hyundai Yuedong Elantra","Beijing HyundaiHyundai Yuedong Elantra",22956,"Passenger Car","Midsize",228,1.468,1.17996902654867,0.788
"12",61,"Bentley","Bentley Flying Spur","BentleyBentley Flying Spur",595,"Luxury Car","Large Luxury",28,51.8,38.5692857142857,31.98
"13",67,"BMW","BMW 5 Series","BMWBMW 5 Series",2977,"Luxury Car","Midsize Luxury",164,12.8,6.2880487804878,3.5
"14",69,"BMW","BMW 6 Series","BMWBMW 6 Series",189,"Luxury Car","Midsize Luxury",123,20.39,14.5269105691057,9.52
"15",70,"BMW","BMW 7 Series","BMWBMW 7 Series",14220,"Luxury Car","Large Luxury",192,32.98,15.4829947916667,8.68
"16",82,"BMW","MINI Cooper","BMWMINI Cooper",11366,"Passenger Car","Compact Basic",136,7.5,3.24426470588235,2.49
"17",98,"BYD","BYD E6","BYDBYD E6",2622,"MPV","Midsize MPV",29,3.698,3.41572413793103,3.098
"18",103,"BYD","BYD G6","BYDBYD G6",1109,"Passenger Car","Midsize",45,1.158,0.977555555555556,0.798
"19",114,"Cadillac","Cadillac SRX","CadillacCadillac SRX",19,"Luxury SUV","Midsize Luxury SUV",91,8.28,5.34934065934066,3.998
"20",144,"Changan Ford","Ford Kuga","Changan FordFord Kuga",50008,"SUV","Midsize SUV",62,2.758,2.38654838709677,1.848
"21",148,"Changan Mazda","Mazda 3","Changan MazdaMazda 3",6,"Passenger Car","Midsize",142,1.698,1.33233802816901,0.968
"22",192,"Changhe Suzuki","Suzuki Liana","Changhe SuzukiSuzuki Liana",1861,"Passenger Car","Compact Basic",170,1.078,0.764164705882353,0.539
"23",218,"Chevrolet","Chevrolet Camaro","ChevroletChevrolet Camaro",613,"Sports Car","Midsize Sports",30,14.7,6.10519230769231,3.999
"24",225,"Chrysler","Chrysler 300C","ChryslerChrysler 300C",487,"Passenger Car","Midsize Basic",56,5.48,4.5175,3
"25",227,"Chrysler","Chrysler Grand Voager","ChryslerChrysler Grand Voager",189,"MPV","Large MPV",21,5.195,4.69504761904762,4.119
"26",241,"Citroen","Citroen Picasso","CitroenCitroen Picasso",366,"MPV","Compact MPV",47,3.4,2.77153191489362,2.168
"27",294,"Dongfeng Nissan","Nissan Livina","Dongfeng NissanNissan Livina",3559,"Passenger Car","Midsize Basic",326,1.298,1.01187116564417,0.798
"28",310,"Dongfeng Peugeot","Peugeot 3008","Dongfeng PeugeotPeugeot 3008",14350,"SUV","Midsize SUV",69,2.232,1.8445652173913,1.407
"29",314,"Dongfeng Peugeot","Peugeot 408","Dongfeng PeugeotPeugeot 408",32894,"Passenger Car","Midsize",144,1.897,1.4664014084507,1.2
"30",318,"Dongfeng Yueda Kia","Kia Cerato","Dongfeng Yueda KiaKia Cerato",4282,"Passenger Car","Midsize",212,1.538,1.10616037735849,0.888
"31",352,"FAW Car","Besturn B70","FAW CarBesturn B70",1200,"Passenger Car","Midsize",293,2.088,1.42069624573379,0.998
"32",355,"FAW Car","Hongqi H7","FAW CarHongqi H7",2379,"Luxury Car","Large Luxury",39,4.798,3.62620512820513,2.498
"33",388,"FAW Mazda","Mazda 6","FAW MazdaMazda 6",861,"Passenger Car","Midsize Upper",176,2.658,1.93720454545455,1.298
"34",400,"Ferrari Maserati","Ferrari 458","Ferrari MaseratiFerrari 458",3,"Sports Car","Large Sports",22,55.88,45.278,38.8
