"","ModelIdx","competeIdx","type","addnum","updatatime"
"","2403","64","fullbitautoinfo","0","2017-9-19"
"","2403","1781","fullbitautoinfo","0","2017-9-19"
"","2403","1122","fullbitautoinfo","0","2017-9-19"
"","2403","1764","fullbitautoinfo","0","2017-9-19"
"","2403","220","fullbitautoinfo","0","2017-9-19"
"","2419","1954","fullbitautoinfo","0","2017-9-19"
"","2419","2143","fullbitautoinfo","0","2017-9-19"
"","2419","1308","fullbitautoinfo","0","2017-9-19"
"","2419","350","fullbitautoinfo","0","2017-9-19"
"","2419","74","fullbitautoinfo","0","2017-9-19"
"","2356","2221","bitautoinfoaddseginfo","1","2017-9-19"
"","2356","29","bitautoinfoaddseginfo","1","2017-9-19"
"","2356","64","bitautoinfoaddseginfo","1","2017-9-19"
"","2356","746","bitautoinfoaddseginfo","1","2017-9-19"
"","2356","1122","bitautoinfoaddseginfo","1","2017-9-19"
"","2221","60","fullbitautoinfo","0","2017-9-19"
"","2221","1953","fullbitautoinfo","0","2017-9-19"
"","2221","1516","fullbitautoinfo","0","2017-9-19"
"","2221","29","fullbitautoinfo","0","2017-9-19"
"","2221","8","fullbitautoinfo","0","2017-9-19"
"","8","2221","fullbitautoinfo","0","2017-9-19"
"","8","12","fullbitautoinfo","0","2017-9-19"
"","8","13","fullbitautoinfo","0","2017-9-19"
"","8","29","fullbitautoinfo","0","2017-9-19"
"","8","286","fullbitautoinfo","0","2017-9-19"
"","12","657","fullbitautoinfo","0","2017-9-19"
"","12","755","fullbitautoinfo","0","2017-9-19"
"","12","8","fullbitautoinfo","0","2017-9-19"
"","12","2221","fullbitautoinfo","0","2017-9-19"
"","12","14","fullbitautoinfo","0","2017-9-19"
"","2096","777","fullbitautoinfo","0","2017-9-19"
"","2096","659","fullbitautoinfo","0","2017-9-19"
"","2096","605","fullbitautoinfo","0","2017-9-19"
"","2096","657","fullbitautoinfo","0","2017-9-19"
"","2096","755","fullbitautoinfo","0","2017-9-19"
"","13","2221","fullbitautoinfo","0","2017-9-19"
"","13","8","fullbitautoinfo","0","2017-9-19"
"","13","85","fullbitautoinfo","0","2017-9-19"
"","13","605","fullbitautoinfo","0","2017-9-19"
"","13","656","fullbitautoinfo","0","2017-9-19"
"","14","722","bitautoinfoaddseginfo","2","2017-9-19"
"","14","29","bitautoinfoaddseginfo","2","2017-9-19"
"","14","1307","bitautoinfoaddseginfo","2","2017-9-19"
"","14","565","bitautoinfoaddseginfo","2","2017-9-19"
"","14","1953","bitautoinfoaddseginfo","2","2017-9-19"
"","16","1219","bitautoinfoaddseginfo","2","2017-9-19"
"","16","952","bitautoinfoaddseginfo","2","2017-9-19"
"","16","957","bitautoinfoaddseginfo","2","2017-9-19"
"","16","1122","bitautoinfoaddseginfo","2","2017-9-19"
"","16","1125","bitautoinfoaddseginfo","2","2017-9-19"
"","17","1209","fullbitautoinfo","0","2017-9-19"
"","17","1219","fullbitautoinfo","0","2017-9-19"
"","17","1363","fullbitautoinfo","0","2017-9-19"
"","17","1222","fullbitautoinfo","0","2017-9-19"
"","17","346","fullbitautoinfo","0","2017-9-19"
"","18","21","fullbitautoinfo","0","2017-9-19"
"","18","346","fullbitautoinfo","0","2017-9-19"
"","18","2178","fullbitautoinfo","0","2017-9-19"
"","18","976","fullbitautoinfo","0","2017-9-19"
"","18","350","fullbitautoinfo","0","2017-9-19"
"","20","66","fullbitautoinfo","0","2017-9-19"
"","20","346","fullbitautoinfo","0","2017-9-19"
"","20","23","fullbitautoinfo","0","2017-9-19"
"","20","1126","fullbitautoinfo","0","2017-9-19"
"","20","348","fullbitautoinfo","0","2017-9-19"
"","21","348","fullbitautoinfo","0","2017-9-19"
"","21","18","fullbitautoinfo","0","2017-9-19"
"","21","1126","fullbitautoinfo","0","2017-9-19"
"","21","346","fullbitautoinfo","0","2017-9-19"
"","21","350","fullbitautoinfo","0","2017-9-19"
"","23","957","fullbitautoinfo","0","2017-9-19"
"","23","139","fullbitautoinfo","0","2017-9-19"
"","23","135","fullbitautoinfo","0","2017-9-19"
"","23","2026","fullbitautoinfo","0","2017-9-19"
"","23","169","fullbitautoinfo","0","2017-9-19"
"","24","70","bitautoinfoaddseginfo","5","2017-9-19"
"","24","693","bitautoinfoaddseginfo","5","2017-9-19"
"","24","24","bitautoinfoaddseginfo","5","2017-9-19"
"","24","2109","bitautoinfoaddseginfo","5","2017-9-19"
"","24","1857","bitautoinfoaddseginfo","5","2017-9-19"
"","26","26","fullbitautoinfo","0","2017-9-19"
"","26","968","fullbitautoinfo","0","2017-9-19"
"","26","74","fullbitautoinfo","0","2017-9-19"
"","26","2329","fullbitautoinfo","0","2017-9-19"
"","26","916","fullbitautoinfo","0","2017-9-19"
"","27","350","fullbitautoinfo","0","2017-9-19"
"","27","2143","fullbitautoinfo","0","2017-9-19"
"","27","75","fullbitautoinfo","0","2017-9-19"
"","27","1213","fullbitautoinfo","0","2017-9-19"
"","27","74","fullbitautoinfo","0","2017-9-19"
"","28","610","fullbitautoinfo","0","2017-9-19"
"","28","75","fullbitautoinfo","0","2017-9-19"
"","28","1877","fullbitautoinfo","0","2017-9-19"
"","28","969","fullbitautoinfo","0","2017-9-19"
"","28","978","fullbitautoinfo","0","2017-9-19"
"","29","722","fullbitautoinfo","0","2017-9-19"
"","29","1482","fullbitautoinfo","0","2017-9-19"
"","29","746","fullbitautoinfo","0","2017-9-19"
"","29","1516","fullbitautoinfo","0","2017-9-19"
"","29","656","fullbitautoinfo","0","2017-9-19"
"","1211","676","fullbitautoinfo","0","2017-9-19"
"","1211","30","fullbitautoinfo","0","2017-9-19"
"","1211","1483","fullbitautoinfo","0","2017-9-19"
"","1211","1478","fullbitautoinfo","0","2017-9-19"
"","1211","1493","fullbitautoinfo","0","2017-9-19"
"","1477","1478","fullbitautoinfo","0","2017-9-19"
"","1477","1212","fullbitautoinfo","0","2017-9-19"
"","1477","1147","fullbitautoinfo","0","2017-9-19"
"","1477","21","fullbitautoinfo","0","2017-9-19"
"","1477","755","fullbitautoinfo","0","2017-9-19"
"","1478","755","fullbitautoinfo","0","2017-9-19"
"","1478","1085","fullbitautoinfo","0","2017-9-19"
"","1478","1146","fullbitautoinfo","0","2017-9-19"
"","1478","1079","fullbitautoinfo","0","2017-9-19"
"","1478","679","fullbitautoinfo","0","2017-9-19"
