"","modelIdx","stdMake","stdModel","cp","numb","Segment","Subsegment","highprice","meanprice","lowprice","type","typedif","typeper","oil","level"
"1",8,"Aston Martin","Aston Martin DB9","Aston MartinAston Martin DB9",8,"Sports Car","Large Sports",43.8,34.2121153846154,31.99,"跑车",2,0.557692307692308,18.0461538461538,"中大型车"
"2",30,"Audi","Audi S5","AudiAudi S5",58,"Luxury Car","Compact Luxury",9.98,8.1411,6.788,"轿跑车",3,0.35,9.6475,"中型车"
"3",31,"Audi","Audi TT","AudiAudi TT",527,"Sports Car","Compact Sports",6.5,5.42564102564103,4.9,"轿跑车",1,1,7.43,"紧凑型车"
"4",32,"BAIC Motor","BAIC 205","BAIC MotorBAIC 205",1,"Van","Mini Van",0.408,0.345070175438596,0.298,"客车",2,0.737704918032787,7.12131147540984,"微型客车"
"5",43,"BAIC Motor","BAIC Zhanqi","BAIC MotorBAIC Zhanqi",3733,"SUV","Compact SUV",0.845,0.664266666666667,0.5,"越野车",2,0.666666666666667,9.10555555555556,"中型车"
"6",46,"Beijing Hyundai","Hyundai Accent","Beijing HyundaiHyundai Accent",2,"Passenger Car","Compact",1.058,0.848674846625767,0.598,"轿车",1,1,7.02967741935484,"小型车"
"7",49,"Beijing Hyundai","Hyundai ix35","Beijing HyundaiHyundai ix35",17872,"SUV","Midsize SUV",2.428,2.02368862275449,1.498,"SUV",1,1,8.59221556886228,"紧凑型车"
"8",51,"Beijing Hyundai","Hyundai Mistra","Beijing HyundaiHyundai Mistra",59823,"Passenger Car","Midsize",1.898,1.56814925373134,1.298,"轿车",1,1,7.27384615384615,"中型车"
"9",52,"Beijing Hyundai","Hyundai Moinca","Beijing HyundaiHyundai Moinca",2069,"Passenger Car","Midsize",1.398,1.26610810810811,1.148,"轿车",1,1,8.89794871794872,"中型车"
"10",54,"Beijing Hyundai","Hyundai Sonata","Beijing HyundaiHyundai Sonata",9382,"Passenger Car","Midsize Upper",2.65,1.9062492917847,1.238,"轿车",1,1,7.95193083573487,"中型车"
"11",57,"Beijing Hyundai","Hyundai Yuedong Elantra","Beijing HyundaiHyundai Yuedong Elantra",22956,"Passenger Car","Midsize",1.468,1.17996902654867,0.788,"轿车",1,1,6.9695067264574,"紧凑型车"
"12",61,"Bentley","Bentley Flying Spur","BentleyBentley Flying Spur",595,"Luxury Car","Large Luxury",51.8,38.5692857142857,31.98,"轿车",1,1,13.9,"大型车"
"13",67,"BMW","BMW 5 Series","BMWBMW 5 Series",2977,"Luxury Car","Midsize Luxury",12.8,6.2880487804878,3.5,"轿车",2,0.969512195121951,7.1359477124183,"中大型车"
"14",69,"BMW","BMW 6 Series","BMWBMW 6 Series",189,"Luxury Car","Midsize Luxury",20.39,14.5269105691057,9.52,"轿跑车",2,0.626016260162602,8.80659340659341,"中大型车"
"15",70,"BMW","BMW 7 Series","BMWBMW 7 Series",14220,"Luxury Car","Large Luxury",32.98,15.4829947916667,8.68,"轿车",1,1,9.85031446540881,"大型车"
"16",82,"BMW","MINI Cooper","BMWMINI Cooper",11366,"Passenger Car","Compact Basic",7.5,3.24426470588235,2.49,"轿车",2,0.816176470588235,6.52970297029703,"小型车"
"17",98,"BYD","BYD E6","BYDBYD E6",2622,"MPV","Midsize MPV",3.698,3.41572413793103,3.098,"MPV",1,1,NA,"紧凑型车"
"18",103,"BYD","BYD G6","BYDBYD G6",1109,"Passenger Car","Midsize",1.158,0.977555555555556,0.798,"轿车",1,1,7.35555555555556,"中型车"
"19",114,"Cadillac","Cadillac SRX","CadillacCadillac SRX",19,"Luxury SUV","Midsize Luxury SUV",8.28,5.34934065934066,3.998,"SUV",1,1,11.5783783783784,"中型车"
